group,duration,picName,date,title
CUBE,Apr18-Mar19,2018_CUBE_Nov_1,2018-11-01,"Students Two day CUBE workshop on “Model system based research and follow-up”, for undergraduate students and a teacher Dyal Singh College & Acharya Narendra Dev College, Delhi 25 01.11.2018 to 02.11.2018"
CUBE,Apr18-Mar19,2018_CUBE_Oct_30,2018-10-30,"Students CUBE Workshop Guru Ghasidas University, Bilaspur 120 30.10.2018 to 31.10.2018"
glab,Apr18-Mar19,2018_glab_Sep_8,2018-09-08,"Teachers DOER Tools and resources School teachers Y. Y. Nijap School, Shirgaon 20 08.09.2018"
makerspace,Apr18-Mar19,2018_makerspace_Aug_31,2018-08-31,"Teachers Makerspace Workshop for Do-It-Yourself microscope making using Webcam
Teachers from Navnirmiti organization HBCSE 15 31.08.2018"
CUBE,Apr18-Mar19,2018_CUBE_Aug_17,2018-08-17,"Students Two days workshop on “Biological model systems”, at CUBE hub of Kanpur region Seth Anandram Jaipuria School, Kanpur 450 (Kanpur,17.08.2018 to 18.08.2018)"
CUBE,Apr18-Mar19,2018_CUBE_Jun_12,2018-06-12,"Students CUBE June Workshop 30 (Mumbai, 12.06.2018 to 22.06.2018)"
CUBE,Apr18-Mar19,2018_CUBE_May_1,2018-05-01,"Students CUBE Summer Workshop Session 2 on ""DIY - Do It Yourself"" activities 20 (Mumbai, 01.05.2018 to 07.05.2018)"
CUBE,Apr18-Mar19,2018_CUBE_Apr_1,2018-04-01,"Students CUBE Summer Workshop Session 1 on ""DIY - Do It Yourself"" activities
30 (Mumbai, Apr 1-10, 2018)"
glab,Apr17-Mar18,2018_glab_Mar_26,2018-03-26,"""National Repository of Open Educational Resources (NROER) workshop for capacity building & upgrading NROER platform organized in collaboration with Central Institute of Educational Technology for 25 participants (HBCSE, Mumbai, March 26-30, 2018);"""
CUBE,Apr17-Mar18,2018_CUBE_Mar_16,2018-03-16,"Lecture-cum-workshop on Mango phenology mapping and fruit fly trapping
studies, simple model systems, for 70 students and 10 teachers, MGM School,
Varkala (Kerala, March 16-17, 2018)."
